"director","type","title_produced"
"Pang Ho-cheung","Movie","3"
"Julien Leclercq","Movie","2"
"Nikhil Advani","Movie","2"
"Ajay Bhuyan","Movie","2"
"Hani Hamdi","Movie","2"
"Luis Valdez","Movie","2"
"Michael Showalter","Movie","2"
"Kevin MacDonald","Movie","2"
"John Wells","Movie","2"
"Anggy Umbara","Movie","2"
"Martin Gorst","Movie","2"
"Alexandre Aja","Movie","2"
"Spike Jonze","Movie","2"
"Josh Safdie","Movie","2"
"Eli Roth","Movie","2"
"Randal Kleiser","Movie","2"
"Ari Sandel","Movie","2"
"Kemi Adetiba","Movie","2"
"Miguel Arteta","Movie","2"
"Jonathan Levine","Movie","2"
"Richard Bailey","Movie","2"
"Mez Tharatorn","Movie","2"
"Corey Yuen","Movie","2"
"Antonio Serrano","Movie","2"
"Daniel Oriahi","Movie","2"
"Bejoy Nambiar","Movie","2"
"Gus Van Sant","Movie","2"
"Dee Rees","Movie","2"
"Dennie Gordon","Movie","2"
"Susannah Ward","Movie","2"
"Eric Idle","Movie","2"
"George Clooney","Movie","2"
"Ian MacNaughton","Movie","2"
"Tarsem Singh","Movie","2"
"Mike Binder","Movie","2"
"Gautham Vasudev Menon","TV Show","2"
"Alejandro Doria","Movie","2"
"Karen J. Lloyd","Movie","2"
"David Fairhead","Movie","2"
"Makarand Mane","Movie","2"
"Anthony Minghella","Movie","2"
"Javier Ruiz Caldera","Movie","2"
"Bong Joon Ho","Movie","2"
"David Pastor","Movie","2"
"Cosima Spender","Movie","2"
"Vikram Bhatt","Movie","2"
"Sergio Leone","Movie","2"
"Chanda Bell","Movie","2"
"Shivam Nair","Movie","2"
"Patryk Vega","Movie","2"
"Stephen Herek","Movie","2"
"Elaine McMillion Sheldon","Movie","2"
"Sameer Vidwans","Movie","2"
"Gary Fleder","Movie","2"
"Yoshiyuki Momose","Movie","2"
"Frank Rajah Arase","Movie","2"
"Ben Simms","Movie","2"
"Florian Henckel von Donnersmarck","Movie","2"
"J.D. Dillard","Movie","2"
"Liam O'Donnell","Movie","2"
"Tom Ford","Movie","2"
"Ahmed Zein","Movie","2"
"Chris Bell","Movie","2"
"Umesh Shukla","Movie","2"
"Terry Jones","Movie","2"
"JP Habac","Movie","2"
"Liam Lynch","Movie","2"
"Ross Boyask","Movie","2"
"Leslie Iwerks","Movie","2"
"Husam El-Gohari","Movie","2"
"Mike Birbiglia","Movie","2"
"Salvador Calvo","Movie","2"
"Keith Scholey","Movie","2"
"Hideaki Anno","Movie","2"
"Kabir Sadanand","Movie","2"
"Liz Garbus","Movie","2"
"Janusz Majewski","Movie","2"
"Bonni Cohen","Movie","2"
"Ksshitij Chaudhary","Movie","2"
"Swapnaneel Jayakar","Movie","2"
"Andrew Niccol","Movie","2"
"Mohamed Diab","Movie","2"
"Ted Demme","Movie","2"
"Robert Altman","Movie","2"
"Delhiprasad Deenadayalan","Movie","2"
"Aaron Sorkin","Movie","2"
"Bill Condon","Movie","2"
"Kasia Uscinska","Movie","2"
"Jose Manuel Colón","Movie","2"
"Byron Howard","Movie","2"
"Kip Andersen","Movie","2"
"Trey Edward Shults","Movie","2"
"John Ford","Movie","2"
"Jota Linares","Movie","2"
"Benjamin Turner","Movie","2"
"Rebecca Zlotowski","Movie","2"
"Chito S. Roño","Movie","2"
"Rian Johnson","Movie","2"
"Meltem Bozoflu","Movie","2"
"Ian Edelman","Movie","2"
"Morgan Spurlock","Movie","2"
"Joseph Sargent","Movie","2"
"Park Hoon-jung","Movie","2"
"Alejandro Agresti","Movie","2"
"Kedar Shinde","Movie","2"
"Ryan Murphy","Movie","2"
"Kareem Tabsch","Movie","2"
"Harvey Lowry","Movie","2"
"Fisher Stevens","Movie","2"
"Sam Hobkinson","Movie","2"
"David Paul Meyer","Movie","2"
"Howard Zieff","Movie","2"
"John Dahl","Movie","2"
"Nick Broomfield","Movie","2"
"Hussein Kamal","Movie","2"
"Shin Won-ho","TV Show","2"
"Steve Paley","Movie","2"
"Scott Aukerman","Movie","2"
"Ahmed Zain","Movie","2"
"Tanuja Chandra","Movie","2"
"Griffin Dunne","Movie","2"
"Eli Craig","Movie","2"
"Ekene Som Mekwunye","Movie","2"
"Manolo Caro","Movie","2"
"James McTeigue","Movie","2"
"Jack C. Newell","Movie","2"
"James Toback","Movie","2"
"Peter Lepeniotis","Movie","2"
"Anthony Giordano","Movie","2"
"Anthony D'Souza","Movie","2"
"Jacob Joice","Movie","2"
"Charlie Lightening","Movie","2"
"Vir Das","Movie","2"
"Ruben Fleischer","Movie","2"
"Scott Moran","Movie","2"
"Amy Poehler","Movie","2"
"Bryan Bertino","Movie","2"
"Rachel Grady","Movie","2"
"Tarun Mansukhani","Movie","2"
"Daniel Benmayor","Movie","2"
"Paul Andrew Williams","Movie","2"
"Rob Seidenglanz","TV Show","2"
"Brad Peyton","Movie","2"
"Laxman Utekar","Movie","2"
"Ali Taner Baltacı","Movie","2"
"Michael Winterbottom","Movie","2"
"Dino Risi","Movie","2"
"Muharrem Gülmez","Movie","2"
"David Dobkin","Movie","2"
"Brian Oakes","Movie","2"
"Damián Romay","Movie","2"
"Michael J. Bassett","Movie","2"
"Joe Berlinger","TV Show","2"
"Jacob Kornbluth","Movie","2"
"Gregory Caruso","Movie","2"
"Richard LaGravenese","Movie","2"
"Trivikram Srinivas","Movie","2"
"Kim Joo-hyung","Movie","2"
"Peter Chelsom","Movie","2"
"Dan Gilroy","Movie","2"
"John Hillcoat","Movie","2"
"Rod Blackhurst","Movie","2"
"Jon Favreau","Movie","2"
"Simon Stone","Movie","2"
"Satyajit Bhatkal","Movie","2"
"S.S. Wilson","Movie","2"
"Gareth Evans","Movie","2"
"Derek Cianfrance","Movie","2"
