"casts","titles_they_acted","ranking"
"teresa gallagher","10","339"
"david oyelowo","10","339"
"christopher meloni","10","339"
"sam neill","10","339"
"supriya pathak","10","339"
"topher grace","10","339"
"atul kulkarni","10","339"
"oprah winfrey","10","339"
"jennifer garner","10","339"
"anthony hopkins","10","339"
"colin farrell","10","339"
"yuri lowenthal","10","339"
"kurt russell","10","339"
"taylor lautner","10","339"
"lake bell","10","339"
"jane lynch","10","339"
"sonali kulkarni","10","339"
"greg kinnear","10","339"
"kalki koechlin","10","339"
"anna kendrick","10","339"
"hiroki yasumoto","10","339"
"patrick wilson","10","339"
"john carroll lynch","10","339"
"nick offerman","10","339"
"m・a・o","10","339"
"sonam kapoor","10","339"
"adesua etomi","10","339"
"luis guzmán","10","339"
"jide kosoko","10","339"
"mukesh tiwari","10","339"
"benedict cumberbatch","10","339"
"amy poehler","10","339"
"nicole kidman","10","339"
"jada pinkett smith","10","339"
"rebecca shoichet","10","339"
"alan cumming","10","339"
"natalie dormer","10","339"
"kate walsh","10","339"
"preity zinta","10","339"
"prakash raj","10","339"
"nat faxon","10","339"
"zoe saldana","10","339"
"john goodman","10","339"
"yukari tamura","10","339"
"ramya krishnan","10","339"
"jonah hill","10","339"
"tamannaah bhatia","10","339"
"zakir hussain","10","339"
"vera farmiga","10","339"
"cezmi baskın","10","339"
"eddie marsan","10","339"
"alia shawkat","10","339"
"dustin hoffman","10","339"
"rahul bose","10","339"
"mikako komatsu","10","339"
"andy richter","10","339"
"terrence howard","10","339"
"chie nakamura","10","339"
"kazuyuki okitsu","10","339"
"donnie yen","10","339"
"russell peters","10","339"
"cam clarke","10","339"
"kohsuke toriumi","10","339"
"maria bello","10","339"
"emraan hashmi","10","339"
"shreyas talpade","10","339"
"nolan north","10","339"
"manoj pahwa","10","339"
"mike vogel","10","339"
"dakota fanning","9","458"
"akio otsuka","9","458"
"bill hader","9","458"
"alfre woodard","9","458"
"leonardo dicaprio","9","458"
"jessica alba","9","458"
"randeep hooda","9","458"
"iliza shlesinger","9","458"
"vir das","9","458"
"bill murray","9","458"
"thomas jane","9","458"
"rashida jones","9","458"
"frank welker","9","458"
"colm feore","9","458"
"sacha baron cohen","9","458"
"bill burr","9","458"
"karisma kapoor","9","458"
"shawn yue","9","458"
"common","9","458"
"rob rackstraw","9","458"
"jim cummings","9","458"
"pedro casablanc","9","458"
"clancy brown","9","458"
"jake gyllenhaal","9","458"
"john dimaggio","9","458"
"gugu mbatha-raw","9","458"
"bassem samra","9","458"
"lotfy labib","9","458"
"javed jaffrey","9","458"
"shinichiro miki","9","458"
"rosamund pike","9","458"
"joel mchale","9","458"
"joseph gordon-levitt","9","458"
"giancarlo esposito","9","458"
"terence stamp","9","458"
"j.k. simmons","9","458"
"kunal kapoor","9","458"
"jay o. sanders","9","458"
"sam worthington","9","458"
"chris pine","9","458"
"chloë grace moretz","9","458"
"reema lagoo","9","458"
"vikram gokhale","9","458"
"cherami leigh","9","458"
"wanda sykes","9","458"
"patricia clarkson","9","458"
"gabriel iglesias","9","458"
"deepak dobriyal","9","458"
"toni collette","9","458"
"judi dench","9","458"
"sam rockwell","9","458"
"carlos alazraqui","9","458"
"ben diskin","9","458"
"erica lindbeck","9","458"
"kazuhiro yamaji","9","458"
"lacey chabert","9","458"
"bruce mcgill","9","458"
"forest whitaker","9","458"
"adam pally","9","458"
"gurpreet guggi","9","458"
"walton goggins","9","458"
"makrand deshpande","9","458"
"uma thurman","9","458"
"steve blum","9","458"
"paul bettany","9","458"
"kikuko inoue","9","458"
"vivica a. fox","9","458"
"sola sobowale","9","458"
"eri kitamura","9","458"
"ireti doyle","9","458"
"jennifer ehle","9","458"
"maudy koesnaedi","9","458"
"salli saffioti","9","458"
"craig robinson","9","458"
"jack whitehall","9","458"
"mary elizabeth winstead","9","458"
"mahershala ali","9","458"
"michelle yeoh","9","458"
"scoot mcnairy","9","458"
"zachary quinto","9","458"
"cam gigandet","9","458"
"parker posey","9","458"
"sheeba chaddha","9","458"
"joross gamboa","9","458"
"oscar isaac","9","458"
"govind namdeo","9","458"
"aishwarya rai bachchan","9","458"
"richard jenkins","9","458"
"kristen bell","9","458"
"marc maron","9","458"
"rob corddry","9","458"
"diedrich bader","9","458"
"seth green","9","458"
"joe pantoliano","9","458"
"tetsuya kakihara","9","458"
"mae whitman","9","458"
"lam suet","9","458"
"george lopez","9","458"
"sarah natochenny","9","458"
"hugh bonneville","9","458"
"carmen machi","9","458"
"andrew bachelor","9","458"
"kiernan shipka","9","458"
"satsuki yukino","9","458"
"alexx ekubo","9","458"
"jim gaffigan","9","458"
"jennifer jason leigh","9","458"
"gillian jacobs","9","458"
"mike colter","9","458"
"martin short","9","458"
"daniel padilla","9","458"
"manish chaudhary","9","458"
"maria bamford","9","458"
"yuhko kaida","9","458"
"mike myers","9","458"
"salih kalyon","9","458"
"haruka tomatsu","9","458"
"christopher plummer","9","458"
"michael douglas","9","458"
"farida jalal","9","458"
"michael stuhlbarg","9","458"
"catherine o'hara","9","458"
"danny denzongpa","9","458"
"stephen tobolowsky","9","458"
"james hong","9","458"
"koji yusa","9","458"
"amanda seyfried","9","458"
"scott adkins","9","458"
"michael sheen","9","458"
"jennifer coolidge","9","458"
"jenny slate","9","458"
"kangana ranaut","9","458"
"aubrey plaza","9","458"
"sandra oh","9","458"
"nicolas aqui","9","458"
"cathy weseluck","9","458"
"frank langella","9","458"
"murli sharma","9","458"
"ashley greene","9","458"
"kelsey grammer","9","458"
"keith silverstein","9","458"
"kevin costner","9","458"
"rajendranath zutshi","9","458"
"manu rishi chadha","9","458"
"cengiz bozkurt","8","602"
"arbaaz khan","8","602"
"jeff garlin","8","602"
"rio dewanto","8","602"
"philip baker hall","8","602"
"ezzat abou aouf","8","602"
"jon favreau","8","602"
"himani shivpuri","8","602"
"haluk bilginer","8","602"
"madhavan","8","602"
"vijay sethupathi","8","602"
"lillete dubey","8","602"
"ami koshimizu","8","602"
"jake johnson","8","602"
"jeff bridges","8","602"
"john mulaney","8","602"
"gael garcía bernal","8","602"
"elle fanning","8","602"
"anushka shetty","8","602"
"yui horie","8","602"
"riley keough","8","602"
"keiji fujiwara","8","602"
"rasika dugal","8","602"
"ben affleck","8","602"
"tommy lee jones","8","602"
"demián bichir","8","602"
"ed helms","8","602"
"ben whishaw","8","602"
"deepika padukone","8","602"
"aditi rao hydari","8","602"
"kat graham","8","602"
"natasha lyonne","8","602"
"heather graham","8","602"
"jeanette aw","8","602"
"jackson rathbone","8","602"
"robert forster","8","602"
"emma roberts","8","602"
"sharon stone","8","602"
"jennifer aniston","8","602"
"ratna pathak shah","8","602"
"josh lucas","8","602"
"thomas mann","8","602"
"macon blair","8","602"
"mark wahlberg","8","602"
"deon cole","8","602"
"leslie bibb","8","602"
"stellan skarsgård","8","602"
"vincent d'onofrio","8","602"
"hiro shimono","8","602"
"aki toyosaki","8","602"
"selma blair","8","602"
"evan smith","8","602"
"kader khan","8","602"
"shabana azmi","8","602"
"chadwick boseman","8","602"
"riteish deshmukh","8","602"
"t.i.","8","602"
"rekha","8","602"
"jason bateman","8","602"
"kristen schaal","8","602"
"alyson leigh rosenfeld","8","602"
"michiel huisman","8","602"
"martin sheen","8","602"
"arya babbar","8","602"
"bradley cooper","8","602"
"kellan lutz","8","602"
"al pacino","8","602"
"madhuri dixit","8","602"
"soma saito","8","602"
"jesse eisenberg","8","602"
"maaya uchida","8","602"
"nicholas hoult","8","602"
"dylan mcdermott","8","602"
"ayo makun","8","602"
"bipasha basu","8","602"
"james fox","8","602"
"wale ojo","8","602"
"bea alonzo","8","602"
"christopher mintz-plasse","8","602"
"ludacris","8","602"
"reese witherspoon","8","602"
"michael dobson","8","602"
"melissa leo","8","602"
"tituss burgess","8","602"
"michael gross","8","602"
"crispin glover","8","602"
"olivia colman","8","602"
"brad pitt","8","602"
"purab kohli","8","602"
"tomokazu seki","8","602"
"karen strassman","8","602"
"snoop dogg","8","602"
"lisa kudrow","8","602"
"tatsuhisa suzuki","8","602"
"lara dutta","8","602"
"audu paden","8","602"
"tannishtha chatterjee","8","602"
"femi adebayo","8","602"
"michael cera","8","602"
"zeenat aman","8","602"
"bob balaban","8","602"
"allison janney","8","602"
"shizuka ito","8","602"
"michelle buteau","8","602"
"hiroyuki yoshino","8","602"
"melanie lynskey","8","602"
"sahajak boonthanakit","8","602"
"kensho ono","8","602"
"nse ikpe-etim","8","602"
"tabu","8","602"
"aaron paul","8","602"
"smita jaykar","8","602"
"yılmaz erdoğan","8","602"
"amy sedaris","8","602"
"prabhas","8","602"
"hugo weaving","8","602"
"paul reiser","8","602"
"john cusack","8","602"
"kate winslet","8","602"
"missi pyle","8","602"
"leonardo sbaraglia","8","602"
"shia labeouf","8","602"
"subodh bhave","8","602"
"yogi babu","8","602"
"jon bernthal","8","602"
"arjun mathur","8","602"
"mark strong","8","602"
"ryotaro okiayu","8","602"
"simon pegg","8","602"
"chris attoh","8","602"
"david strathairn","8","602"
"brittany snow","8","602"
"alison pill","8","602"
"vanessa hudgens","8","602"
"sarah gadon","8","602"
"kristin scott thomas","8","602"
"emma stone","8","602"
"mamiko noto","8","602"
"seann william scott","8","602"
"nirmal rishi","8","602"
"octavia spencer","8","602"
"imran khan","8","602"
"bobby deol","8","602"
"dimple kapadia","8","602"
"santosh juvekar","8","602"
"satish kaushik","8","602"
"ben schwartz","8","602"
"matt hill","8","602"
"vinnie jones","8","602"
"kumud mishra","8","602"
"nasser","8","602"
"carrie-anne moss","8","602"
"roger craig smith","8","602"
"neena gupta","8","602"
"iko uwais","8","602"
"mindy sterling","8","602"
"toby huss","8","602"
"david schwimmer","8","602"
"ciarán hinds","8","602"
"koji tsujitani","8","602"
"bob odenkirk","8","602"
"hiroaki hirata","8","602"
"atsuko tanaka","8","602"
"kevin spacey","8","602"
"pran","8","602"
"kishore kadam","8","602"
"john rhys-davies","8","602"
"josh duhamel","8","602"
"samy maghawry","8","602"
"ken marino","8","602"
"jason flemyng","8","602"
"farhan akhtar","8","602"
"falz","8","602"
"emory cohen","8","602"
"jon hamm","8","602"
"smita malhotra","8","602"
"sarah jessica parker","8","602"
"oliver platt","8","602"
"kumiko watanabe","8","602"
"sarah paulson","8","602"
"james cosmo","8","602"
"tom hanks","8","602"
"saurav chakraborty","8","602"
"rooney mara","8","602"
"bryce papenbrook","8","602"
"urmila matondkar","8","602"
"david kaye","8","602"
"manav vij","8","602"
"jeffrey wright","8","602"
"vinay pathak","8","602"
"stephen root","8","602"
"kiron kher","8","602"
"rana daggubati","8","602"
"enyinna nwigwe","8","602"
"jesse plemons","8","602"
"rose mciver","7","797"
"bill camp","7","797"
"ogie banks","7","797"
"aaron eckhart","7","797"
"arcelia ramírez","7","797"
"sanjay suri","7","797"
"sambasa nzeribe","7","797"
"sharman joshi","7","797"
"alex heartman","7","797"
"victor garber","7","797"
"jay duplass","7","797"
"vikrant massey","7","797"
"cem yılmaz","7","797"
